"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","COUNTRY_CODE","LAUNCH_DATE"
15.15089571,0.0021728,97.5995,268.8358,198.2376,161.8079,6898.844,95.044,535.698,505.719,"PAYLOAD","SMALL","US",2019
14.06954658,0.0076218,99.0722,248.902,247.0628,112.2483,7247.949,102.349,925.056,814.571,"DEBRIS","SMALL","PRC",1999
14.960593,0.001402,97.6497,12.0602,319.0966,40.9202,6957.224,96.253,588.843,569.335,"PAYLOAD","SMALL","JOR",2018
13.75766741,0.0210171,98.6869,201.9329,225.0284,133.3663,7357.077,104.669,1133.566,824.318,"DEBRIS","SMALL","US",1970
15.02247261,0.001271,97.7009,240.3099,46.1427,314.085,6938.105,95.856,568.789,551.152,"PAYLOAD","SMALL","GER",2020
14.13117691,0.0074386,99.2782,125.1032,303.0295,110.0816,7226.86,101.902,902.482,794.967,"DEBRIS","SMALL","PRC",1999
13.99651752,0.0148071,98.6582,90.8485,150.4519,210.5117,7273.138,102.883,1002.697,787.309,"DEBRIS","SMALL","PRC",1999
14.04157271,0.0256404,98.8701,344.2773,281.0034,139.6057,7257.572,102.553,1065.524,693.35,"DEBRIS","SMALL","PRC",1999
14.15158315,0.0019869,98.7674,14.799,153.7358,206.4827,7219.911,101.755,856.121,827.43,"DEBRIS","SMALL","US",2000
10.65163337,0.1532399,51.6012,21.842,130.0672,244.494,8725.514,135.191,3684.476,1010.282,"DEBRIS","SMALL","CIS",2011
13.85308276,0.0060489,83.1526,5.606,0.7411,359.383,7323.256,103.948,989.419,900.823,"DEBRIS","SMALL","CIS",1981
13.91663874,0.016305,98.4477,206.4693,320.5518,174.1474,7300.943,103.473,1041.85,803.766,"DEBRIS","SMALL","PRC",1999
13.93892195,0.0164567,99.0689,336.5651,186.631,349.3489,7293.16,103.308,1035.046,795.003,"DEBRIS","SMALL","PRC",1999
13.50366708,0.0320709,98.5053,277.3679,347.0877,12.2189,7449.047,106.638,1309.809,832.014,"DEBRIS","SMALL","PRC",1999
14.0421011,0.0183936,98.3067,237.3443,31.1002,330.0901,7257.39,102.549,1012.744,745.765,"DEBRIS","SMALL","PRC",1999
13.19357327,0.0476446,99.0084,340.5618,44.9764,332.8007,7565.313,109.144,1547.624,826.731,"DEBRIS","SMALL","PRC",1999
14.47614465,0.0023463,86.3369,277.9865,333.8997,201.2401,7111.588,99.474,750.139,716.767,"DEBRIS","SMALL","US",1997
13.92749175,0.0113205,98.1263,31.9566,196.9087,338.7285,7297.149,103.393,1001.622,836.407,"DEBRIS","SMALL","PRC",1999
14.34619801,0.002257,65.0161,265.4925,260.5916,99.2618,7154.467,100.375,792.48,760.185,"DEBRIS","SMALL","CIS",1987
14.25743814,0.0097806,98.4996,328.6499,89.461,271.7776,7184.13,101,876.26,735.73,"DEBRIS","SMALL","PRC",1999
14.96221044,0.0012316,97.6537,12.7784,321.2902,38.7435,6956.722,96.242,587.155,570.019,"PAYLOAD","SMALL","GER",2018
13.96698938,0.0080355,98.8288,340.5736,170.624,4.4329,7283.386,103.1,963.776,846.725,"DEBRIS","SMALL","PRC",1999
13.714896,0.0068901,82.5058,312.4253,84.0954,90.6958,7372.365,104.995,1045.026,943.434,"DEBRIS","SMALL","CIS",1987
14.01787494,0.0340836,73.7881,145.9204,222.4013,150.2975,7265.749,102.726,1135.257,639.971,"DEBRIS","SMALL","CIS",1993
13.44466555,0.0343365,98.6908,336.3797,192.9334,166.2824,7470.824,107.106,1349.211,836.167,"DEBRIS","SMALL","PRC",1999
14.11989578,0.004341,99.3336,198.0761,349.9026,10.1267,7230.708,101.984,883.962,821.185,"DEBRIS","SMALL","PRC",1999
14.39560064,0.0066358,98.7343,32.5829,2.6551,357.4975,7138.089,100.031,807.321,712.587,"DEBRIS","SMALL","US",1995
14.24568638,0.0033875,98.7163,322.0603,233.322,126.4844,7188.08,101.083,834.295,785.596,"DEBRIS","SMALL","US",1995
14.16338697,0.0115896,71.1051,207.398,262.5067,213.1714,7215.899,101.671,921.393,754.134,"DEBRIS","SMALL","CIS",1992
14.49206678,0.0110396,98.1059,356.8539,83.2031,278.1711,7106.378,99.365,806.694,649.791,"DEBRIS","SMALL","PRC",2007
14.34193017,0.0359194,99.0569,140.7194,64.4519,299.3342,7155.886,100.405,1034.787,520.716,"DEBRIS","SMALL","PRC",1999
13.92710354,0.0033353,82.538,199.3375,53.3499,307.0724,7297.285,103.396,943.489,894.811,"DEBRIS","SMALL","CIS",1988
14.22281083,0.0009801,98.6877,309.5415,25.5717,334.5944,7195.786,101.246,824.703,810.598,"PAYLOAD","SMALL","CA",2003
14.34107316,0.0131559,98.0201,218.7357,164.0683,196.4702,7156.172,100.411,872.182,683.891,"DEBRIS","SMALL","PRC",1999
14.31992414,0.002115,65.0093,71.4041,271.4927,88.3735,7163.216,100.559,800.231,769.931,"DEBRIS","SMALL","CIS",1987
14.7249297,0.0086771,98.7552,18.0211,276.3093,82.8234,7031.258,97.793,714.134,592.112,"DEBRIS","SMALL","PRC",1999
15.38309548,0.0006668,51.6385,256.3604,337.8931,36.499,6829.245,93.609,455.664,446.556,"PAYLOAD","SMALL","US",2017
14.33551639,0.002563,98.6543,251.5634,29.9912,330.2734,7158.021,100.45,798.232,761.54,"DEBRIS","SMALL","US",2002
14.2869238,0.0043769,98.8601,61.3632,309.0025,50.7262,7174.242,100.791,827.508,764.706,"DEBRIS","SMALL","US",2000
15.1394912,0.0015724,97.527,71.9049,160.3565,199.8275,6902.308,95.115,535.026,513.32,"PAYLOAD","SMALL","US",2021
15.26911532,0.002042,97.2151,194.8745,163.2592,196.9326,6863.188,94.308,499.068,471.039,"PAYLOAD","SMALL","SPN",2018
14.7445384,0.0058787,97.6631,140.6889,178.0454,182.0996,7025.023,97.663,688.186,605.59,"PAYLOAD","SMALL","US",2014
14.28070924,0.0103212,86.4277,49.1374,105.0206,256.2438,7176.323,100.835,872.256,724.12,"DEBRIS","SMALL","US",1997
13.54356755,0.0192908,82.9333,181.4019,252.9045,105.0892,7434.409,106.324,1199.69,912.858,"DEBRIS","SMALL","CIS",1981
13.63062671,0.0244196,99.6395,341.2331,162.0346,229.0752,7402.719,105.644,1205.356,843.813,"DEBRIS","SMALL","PRC",1999
14.63612283,0.0035533,98.3657,117.1235,119.4873,240.988,7059.671,98.387,706.621,656.451,"DEBRIS","SMALL","CIS",2002
12.91369396,0.0895992,98.0558,358.9883,47.7874,319.5836,7674.231,111.51,1983.701,608.491,"DEBRIS","SMALL","PRC",1999
14.38554103,0.0050191,73.9576,165.0142,285.7642,250.9885,7141.417,100.101,799.125,727.438,"DEBRIS","SMALL","CIS",1993
12.99043671,0.0036515,90.269,342.651,141.8723,218.4993,7643.976,110.851,1293.753,1237.929,"DEBRIS","SMALL","US",1965
13.91034242,0.0117548,100.0088,63.675,20.7186,339.8679,7303.146,103.52,1010.858,839.164,"DEBRIS","SMALL","PRC",1999
14.56089842,0.0007422,98.5985,146.5599,54.6448,305.5441,7083.965,98.895,711.087,700.572,"PAYLOAD","SMALL","GER",2009
14.25142155,0.013729,86.425,71.5004,266.7869,91.7607,7186.152,101.043,906.675,709.358,"DEBRIS","SMALL","US",1997
14.86151123,0.0031124,74.0139,100.56,200.3756,159.6184,6988.112,96.895,631.727,588.227,"DEBRIS","SMALL","CIS",1993
13.50889539,0.0063707,100.5493,240.0817,160.4451,214.7009,7447.125,106.596,1116.433,1021.546,"DEBRIS","SMALL","US",1966
14.27458553,0.0062309,74.0397,289.8724,318.7299,153.8985,7178.375,100.879,844.968,755.513,"DEBRIS","SMALL","CIS",1993
13.23349341,0.0028103,82.5649,248.6463,298.2249,61.604,7550.091,108.815,1193.174,1150.738,"DEBRIS","SMALL","CIS",1991
15.26192157,0.0014268,97.4045,80.1134,159.3593,200.8241,6865.345,94.352,497.005,477.414,"PAYLOAD","SMALL","US",2020
13.94223445,0.0020818,82.5426,197.4698,134.4008,225.8867,7292.004,103.283,929.05,898.689,"DEBRIS","SMALL","CIS",1988
14.28185207,0.0054077,98.974,83.7964,340.8318,19.0827,7175.94,100.827,836.611,759,"DEBRIS","SMALL","US",2000
13.95996578,0.0082548,98.7969,317.2641,85.5742,275.4846,7285.828,103.152,967.836,847.55,"DEBRIS","SMALL","US",2000
14.3663141,0.0022377,74.0354,146.377,235.2888,124.6157,7147.787,100.234,785.647,753.657,"DEBRIS","SMALL","CIS",1993
15.62369671,2.36e-05,51.6315,81.6368,7.9776,352.1222,6758.951,92.168,380.976,380.657,"PAYLOAD","SMALL","US",2017
13.66677827,0.0281134,98.1304,198.9594,120.4686,242.4551,7389.659,105.365,1219.273,803.776,"DEBRIS","SMALL","PRC",1999
14.0933376,0.0041913,98.7427,325.9997,181.634,296.7198,7239.789,102.176,891.999,831.31,"DEBRIS","SMALL","PRC",1999
14.36911411,0.0083076,86.3686,347.1891,241.9751,117.3025,7146.858,100.215,828.097,709.35,"DEBRIS","SMALL","US",1997
14.55544377,0.0028044,98.4516,49.852,186.6837,173.399,7085.734,98.932,727.471,687.728,"DEBRIS","SMALL","US",2009
14.11196392,0.0050479,98.9256,290.5852,177.5566,182.5861,7233.418,102.041,891.796,818.769,"DEBRIS","SMALL","US",1995
14.37991965,0.008422,99.166,89.8661,164.9046,195.4681,7143.278,100.14,825.303,704.982,"DEBRIS","SMALL","PRC",1999
13.29226178,0.0515874,99.8052,52.8727,244.2506,110.4519,7527.82,108.334,1538.026,761.345,"DEBRIS","SMALL","PRC",1999
14.36022213,0.0053364,99.5647,133.0008,53.59,307.0186,7149.808,100.277,809.828,733.519,"DEBRIS","SMALL","PRC",1999
15.12349598,0.0008669,97.566,27.1105,353.6258,69.902,6907.174,95.216,535.027,523.051,"TBA","SMALL","TBD",2018
14.43422755,0.0005171,81.1833,239.1392,215.9367,144.1475,7125.349,99.763,750.899,743.53,"DEBRIS","SMALL","CIS",1979
14.56906731,0.0027019,81.2341,9.7516,276.4559,83.3561,7081.317,98.84,722.315,684.049,"DEBRIS","SMALL","CIS",1982
14.82614274,0.0012156,97.9055,353.4272,50.921,309.3082,6999.221,97.126,629.595,612.578,"DEBRIS","SMALL","CIS",1994
10.8691257,0.1827084,120.6783,292.167,107.6805,273.114,8608.724,132.485,3803.475,657.703,"DEBRIS","SMALL","US",1968
14.16789188,0.0096173,99.0379,307.8842,20.4616,340.0369,7214.369,101.638,905.617,766.851,"DEBRIS","SMALL","US",1991
13.92434261,0.0277102,74.0172,155.7306,305.3754,52.1766,7298.25,103.416,1122.35,717.879,"DEBRIS","SMALL","CIS",1993
13.38116894,0.0107578,82.5508,236.8339,280.7307,78.173,7494.439,107.614,1196.928,1035.68,"DEBRIS","SMALL","CIS",1991
14.18502034,0.0028577,98.6969,356.4787,16.2214,159.7328,7208.56,101.516,851.025,809.825,"DEBRIS","SMALL","PRC",1999
4.34283329,0.5460174,62.6309,25.7706,75.4579,336.8182,15869.128,331.581,18155.813,826.173,"DEBRIS","SMALL","CIS",2008
13.95235653,0.0196032,99.3178,336.105,166.9351,206.3582,7288.477,103.208,1053.22,767.465,"DEBRIS","SMALL","PRC",1999
14.20516101,0.0329973,81.8223,354.3896,75.766,287.9927,7201.745,101.372,1061.248,585.972,"DEBRIS","SMALL","US",1994
14.4375297,0.0080555,99.9672,109.8109,93.1746,267.866,7124.263,99.74,803.517,688.738,"DEBRIS","SMALL","PRC",1999
14.05288872,0.0046751,98.8324,323.7166,310.672,59.1313,7253.675,102.47,909.452,841.629,"DEBRIS","SMALL","PRC",1999
14.50424049,0.0026906,74.0352,54.6593,117.7479,242.6415,7102.401,99.281,743.376,705.156,"DEBRIS","SMALL","CIS",1993
15.33098284,0.0005143,97.3083,12.6215,347.1278,12.9832,6844.712,93.927,470.097,463.057,"PAYLOAD","SMALL","US",2017
14.9268871,0.0014244,97.4536,169.7149,47.6609,312.5815,6967.693,96.47,599.483,579.633,"PAYLOAD","SMALL","US",2017
14.26736485,0.0014283,98.4757,244.6168,277.1229,82.8327,7180.797,100.93,812.919,792.406,"DEBRIS","SMALL","US",2002
13.48106788,0.0568052,98.8658,100.1151,118.3211,51.4982,7457.369,106.816,1502.852,655.617,"DEBRIS","SMALL","PRC",1999
14.44559793,0.0010403,74.0491,72.9618,175.6303,197.6132,7121.61,99.684,750.883,736.066,"DEBRIS","SMALL","CIS",1993
14.92798493,0.0013351,97.451,169.8267,40.5894,319.6319,6967.351,96.463,598.519,579.914,"PAYLOAD","SMALL","US",2017
13.77762673,0.0182326,98.7332,149.4705,144.4754,216.8699,7349.97,104.517,1105.844,837.826,"DEBRIS","SMALL","US",1995
13.93261479,0.0033024,82.5409,205.241,35.3494,324.9851,7295.36,103.355,941.318,893.133,"DEBRIS","SMALL","CIS",1988
15.28559362,0.0010148,97.4024,20.3326,82.3942,277.845,6858.255,94.206,487.08,473.16,"PAYLOAD","SMALL","US",2018
14.08882482,0.0014314,82.5467,16.452,296.9024,63.0687,7241.335,102.209,873.566,852.835,"DEBRIS","SMALL","CIS",1987
14.15723283,0.0071537,98.9082,18.1385,56.0196,304.7748,7217.99,101.715,891.49,788.219,"DEBRIS","SMALL","PRC",1999
13.99998702,0.0082026,99.0492,233.2665,224.1037,150.1877,7271.937,102.857,953.45,834.153,"DEBRIS","SMALL","US",1972
13.77960001,0.0200425,98.4437,109.2967,2.5053,357.7058,7349.268,104.502,1118.431,823.836,"DEBRIS","SMALL","PRC",1999
15.04739854,0.003069,98.9811,129.6179,342.6888,17.3285,6930.441,95.698,573.576,531.037,"DEBRIS","SMALL","PRC",1999
12.3954732,0.003883,73.6178,229.2823,174.0355,186.1158,7886.66,116.171,1539.149,1477.901,"DEBRIS","SMALL","CIS",1987
15.20197335,0.0028067,97.7686,26.1816,332.4637,27.5109,6883.382,94.725,524.566,485.927,"DEBRIS","SMALL","IND",2001
14.83315395,0.0001831,97.9111,352.9377,121.0051,239.1343,6997.016,97.08,620.162,617.599,"DEBRIS","SMALL","CIS",1994
14.97654267,0.0018471,86.2784,165.9432,65.7459,294.5699,6952.283,96.15,586.99,561.307,"DEBRIS","SMALL","US",1997
13.50415979,0.0404753,74.0569,196.0175,351.7227,183.6033,7448.865,106.634,1372.226,769.235,"DEBRIS","SMALL","CIS",1993
14.345217,0.0118573,86.3731,28.5608,119.0495,242.2641,7154.793,100.382,861.495,691.822,"DEBRIS","SMALL","US",1997
14.03924013,0.0039275,99.1657,280.4083,67.6003,57.7087,7258.376,102.57,908.748,851.733,"DEBRIS","SMALL","US",1978
13.88079071,0.0272763,73.8882,89.8992,15.0255,40.536,7313.507,103.74,1134.858,735.887,"DEBRIS","SMALL","CIS",1993
